mVTris,TTris
-93.4,8.8
-93.1,9.1
-92.6,9.4
-92.2,9.7
-91.4,10
-91.3,10.5
-91.1,10.8
-90.8,11.2
-90.2,11.8
-89.6,12.2
-89.2,12.6
-88.6,13.1
-88.2,13.6
-87.4,14.1
-87.3,14.5
-86.4,15.3
-86,15.7
-85.4,16.2
-84.9,16.7
-84.4,17
