mVTris,TTris
-98.9,6.3
-97.9,7.2
-97.5,7.5
-96.8,8.1
-96.5,8.6
-96.2,8.9
-95.7,9.5
-95.2,9.9
-94.6,10.5
-94.2,10.8
-93.3,11.4
-93.1,11.9
-92.8,12.3
-92.2,12.7
-91.7,13.2
-91.2,13.6
-90.8,14.2
-90.3,14.5
-89.8,15
-89.5,15.4
-89.2,15.6
-88.6,16.1
